0	20	0	0	1400	1400	1400
1	20	0	0	1400	1400	1400
2	20	0	0	1400	1400	1400
3	7.95407	7.95407	7.95407	556.785	556.785	556.785
4	7.95407	7.95407	7.95407	556.785	556.785	556.785
5	6.28581	5.94702	9.06947	440.007	440.007	440.007
6	6.28581	5.94702	9.06947	440.007	440.007	440.007
7	6.28581	5.94702	9.06947	440.007	440.007	440.007
8	5.66759	4.3134	7.4811	396.732	396.732	396.732
9	5.66759	4.3134	7.4811	396.732	396.732	396.732
10	5.66759	4.3134	7.4811	396.732	396.732	396.732
11	4.88223	3.53078	6.15899	341.756	341.756	341.756
12	4.08941	2.99725	5.14498	286.259	286.259	286.259
13	4.08941	2.99725	5.14498	286.259	286.259	286.259
14	4.08941	2.99725	5.14498	286.259	286.259	286.259
15	3.52282	2.57819	4.47464	246.597	246.597	246.597
16	3.52282	2.57819	4.47464	246.597	246.597	246.597
17	3.52282	2.57819	4.47464	246.597	246.597	246.597
18	3.02639	2.23992	3.86528	211.848	211.848	211.848
